sorbitol,montmorillonite_clay,gelatin,chitin_nanofibers,tensile_strength,tensile_strain,tensile_modulus,stress_strain_beta,stress_strain_alpha,post_fire_residual_ratio,optical_transmission_visible,optical_transmission_ultraviolet,optical_transmission_infrared
1.2957795053224241,4.500071460344544,35.08044230310986,59.123706731223166,0.081507 GPa,,4.003864 GPa,0.04187847155047021,0.5419713512566843,0.12578848438479953,85.0225811597738,84.14824891316626,67.43706267846461
13.142837107903393,57.32514057702544,11.695314811488013,17.836707503583174,39.94516677951473,1.3759088345436556,4837.63744584251,0.14397320344486422,0.5724917326992348,0.7752908436718938,63.62616556536692,75.10355806106658,20.50285948402106
36.42429511896901,7.527%,12.968%,43.081%,22.663709721166875,6.242669242189459,2278.205694040096,0.04853982452274951,0.7744625267475697,0.42816367211847206,84.53815067723596,81.86779614985097,59.27105742687582
29.686361275242167,30.325636888167974,10.421504738771278,29.566497097818576,?,2.0197890507849885,3257.5012851896035 MPa,0.09572171170941252,0.8192829866864151,0.7188596529635908,75.83174449001172,76.92948841424607,32.445550125499224
17.492814044541827,36.15648577970803,11.795387306297684,34.55531286945248,104.09675297258846,1.6833332184535286,6708.853548513351,0.3825546320013238,0.7529415749386267,0.8056131379772584,79.26046463737613,82.88965468093905,49.15224364866272
21.24631106541381,37.34139388194899,22.080156352079083,19.33213870055813,67.43033380137334,2.2316304329569685,2920.73976660729,0.03302651314024831,0.8611224700147739,0.84021192148342,70.5423968638793,69.30473299001213,40.936482757857966
28.576516495530118,9.011515362991279,11.496906340577885,50.91506180090073,39.22424617596571,6.50587421128766,3293.172213215209,0.03405244227886272,0.816351300579602,0.3224908161578211,86.68365768516543,85.35190617011676,65.12014901638436
59.44308893562312,5.0344963351773755,1.1216912619934603,34.40072346720604,5.9753711580301605,5.682515622398265,493.31,0.22213183216102042,0.7844786441966493,0.3068044222682472,79.79672425073362,76.125%,51.833%
8.60927580701928,8.369295993583203,47.04445450177223,35.97697369762528,54.681189670739414,1.6169970759306824,6512.733705993272,0.056563907423724746,0.3419798272012239,0.6377430647469908,70.266%,69.264%,51.39786251016428
13.736055937117372,4.229548088117477,26.34202103146356,55.692374943301594,144.90332514748033,4.3293711445151155,6223.448850650924,0.24498990507963025,0.9362642089367184,0.1710462959747872,84.39905919258445,83.28386388978907,62.20587023246873
