sorbitol,montmorillonite_clay,gelatin,chitin_nanofibers,tensile_strength,tensile_strain,tensile_modulus,stress_strain_beta,stress_strain_alpha,post_fire_residual_ratio,optical_transmission_visible,optical_transmission_ultraviolet,optical_transmission_infrared,flag_severity,flag_reasons
1.2957795053224241,4.500071460344544,35.08044230310986,59.123706731223166,81.50699999999999,1.9234339782863377,4003.864,0.0418784715504702,0.5419713512566843,0.12578848438479953,85.0225811597738,84.14824891316626,67.43706267846461,3,Very high filler+high clarity — unlikely
13.142837107903393,57.32514057702544,11.695314811488013,17.836707503583174,39.94516677951473,1.3759088345436556,4837.63744584251,0.1439732034448642,0.5724917326992348,0.7752908436718938,63.62616556536692,75.10355806106658,20.50285948402106,0,
36.42429511896901,7.527,12.968,43.081,22.663709721166875,6.242669242189459,2278.205694040096,0.0485398245227495,0.7744625267475697,0.42816367211847206,84.53815067723596,81.86779614985097,59.27105742687582,0,
29.686361275242167,30.325636888167974,10.421504738771278,29.566497097818576,49.44537492355963,2.0197890507849885,3257.5012851896035,0.0957217117094125,0.8192829866864151,0.7188596529635908,75.83174449001172,76.92948841424607,32.445550125499224,0,
21.24631106541381,37.34139388194899,22.080156352079083,19.33213870055813,67.43033380137334,2.2316304329569685,2920.73976660729,0.0330265131402483,0.8611224700147739,0.84021192148342,70.5423968638793,69.30473299001213,40.936482757857966,0,
28.576516495530118,9.011515362991279,11.496906340577885,50.91506180090073,39.22424617596571,6.50587421128766,3293.172213215209,0.0340524422788627,0.816351300579602,0.3224908161578211,86.68365768516543,85.35190617011676,65.12014901638436,3,Very high filler+high clarity — unlikely
59.44308893562312,5.0344963351773755,1.1216912619934603,34.40072346720604,5.9753711580301605,5.682515622398265,493.31,0.2221318321610204,0.7844786441966493,0.3068044222682472,79.79672425073362,76.125,51.833,1,"High filler+low modulus, high plasticizer compensates"
22.706179125643537,17.76962137173066,22.29639575682004,37.227803745805765,67.98339379926033,1.8897196025014324,5646.553959618065,0.1764716492572576,0.8588795495909191,0.6567619730175291,81.125693918488,78.78735491282767,45.65224811746024,0,
16.168025240597544,47.932377558818644,3.7440829813805006,32.155514219203305,53.98942857384038,0.6885901970820316,4478.76404306297,0.0601340041928127,0.1811474112783684,0.6940849246619077,81.04371955568583,81.81105599183655,60.26722416635783,0,
18.212807965494335,41.543922816862974,35.48344296968956,4.75982624795314,83.73193836104602,1.6831610655859512,5814.181088560692,0.4299480737126178,0.7599138785591351,0.5828135846490229,67.51956871432355,81.12573994267889,30.80973354943195,0,
